state,abbr,wiki,info
Hawaii,HI,Hawaii,"Hawaii  ( (listen) hə-WY-ee; Hawaiian: Hawaiʻi [həˈvɐjʔi]) is the 50th and most recent state to have joined the United States, having received statehood on August 21, 1959. Hawaii is the only U.S. state located in Oceania, the only U.S. state located outside North America, and the only one composed entirely of islands. It is the northernmost island group in Polynesia, occupying most of an archipelago in the central Pacific Ocean.The state encompasses nearly the entire volcanic Hawaiian archipelago, which comprises hundreds of islands spread over 1,500 miles (2,400 km). At the southeastern end of the archipelago, the eight main islands are—in order from northwest to southeast: Niʻihau, Kauaʻi, Oʻahu, Molokaʻi, Lānaʻi, Kahoʻolawe, Maui, and the Island of Hawaiʻi. The last is the largest island in the group; it is often called the ""Big Island"" or ""Hawaiʻi Island"" to avoid confusion with the state or archipelago. The archipelago is physiographically and ethnologically part of the Polynesian subregion of Oceania. Hawaii's diverse natural scenery, warm tropical climate, abundance of public beaches, oceanic surroundings, and active volcanoes make it a popular destination for tourists, surfers, biologists, and volcanologists. Because of its central location in the Pacific and 19th-century labor migration, Hawaii's culture is strongly influenced by North American and East Asian cultures, in addition to its indigenous Hawaiian culture. Hawaii has over a million permanent residents, along with many visitors and U.S. military personnel. Its capital is Honolulu on the island of Oʻahu."
Idaho,ID,Idaho,"Idaho ( (listen)) is a state in the northwestern region of the United States. It borders the state of Montana to the east and northeast, Wyoming to the east, Nevada and Utah to the south, and Washington and Oregon to the west. To the north, it shares a small portion of the Canadian border with the province of British Columbia. With a population of approximately 1.7 million and an area of 83,569 square miles (216,440 km2), Idaho is the 14th largest, the 12th least populous and the 7th least densely populated of the 50 U.S. states. The state's capital and largest city is Boise.Idaho prior to European settlement was inhabited by Native American peoples, some of whom still live in the area. In the early 19th century, Idaho was considered part of the Oregon Country, an area disputed between the U.S. and the United Kingdom. It officially became U.S. territory with the signing of the Oregon Treaty of 1846, but a separate Idaho Territory was not organized until 1863, instead being included for periods in Oregon Territory and Washington Territory. Idaho was eventually admitted to the Union on July 3, 1890, becoming the 43rd state. Forming part of the Pacific Northwest (and the associated Cascadia bioregion), Idaho is divided into several distinct geographic and climatic regions."
Illinois,IL,Illinois,"Illinois ( (listen) IL-ih-NOY) is a state in the Midwestern and Great Lakes region of the United States. It has the fifth largest gross domestic product (GDP), the sixth largest population, and the 25th largest land area of all U.S. states. Illinois is often noted as a microcosm of the entire United States. With Chicago in northeastern Illinois, small industrial cities and immense agricultural productivity in the north and center of the state, and natural resources such as coal, timber, and petroleum in the south, Illinois has a diverse economic base, and is a major transportation hub. Chicagoland, Chicago's metropolitan area, encompasses over 65% of the state's population. The Port of Chicago connects the state to international ports via two main routes: from the Great Lakes, via the Saint Lawrence Seaway, to the Atlantic Ocean and from the Great Lakes to the Mississippi River, via the Illinois Waterway to the Illinois River. The Mississippi River, the Ohio River, and the Wabash River form parts of the boundaries of Illinois. For decades, Chicago's O'Hare International Airport has been ranked as one of the world's busiest airports. Illinois has long had a reputation as a bellwether both in social and cultural terms and, through the 1980s, in politics. The capital of Illinois is Springfield, which is located in the central part of the state."
Indiana,IN,Indiana,"Indiana  (listen) is a U.S. state located in the Midwestern and Great Lakes regions of North America. Indiana is the 38th largest by area and the 17th most populous of the 50 United States. Its capital and largest city is Indianapolis. Indiana was admitted to the United States as the 19th U.S. state on December 11, 1816. Indiana borders Lake Michigan to the northwest, Michigan to the north, Ohio to the east, Kentucky to the south and southeast, and Illinois to the west. Before becoming a territory, various indigenous peoples and Native Americans inhabited Indiana for thousands of years. Since its founding as a territory, settlement patterns in Indiana have reflected regional cultural segmentation present in the Eastern United States; the state's northernmost tier was settled primarily by people from New England and New York, Central Indiana by migrants from the Mid-Atlantic states and from adjacent Ohio, and Southern Indiana by settlers from the Southern states, particularly Kentucky and Tennessee.Indiana has a diverse economy with a gross state product of $359.12 billion in 2017. Indiana has several metropolitan areas with populations greater than 100,000 and a number of smaller industrial cities and towns. Indiana is home to professional sports teams, including the NFL's Indianapolis Colts and the NBA's Indiana Pacers, and hosts several notable athletic events, such as the Indianapolis 500 and Brickyard 400 motorsports races.The state's name means ""Land of the Indians"", or simply ""Indian Land""."
Iowa,IA,Iowa,"Iowa ( (listen)) is a state in the Midwestern United States, bordered by the Mississippi River to the east and the Missouri River and Big Sioux River to the west. It is bordered by six states; Wisconsin to the northeast, Illinois to the east, Missouri to the south, Nebraska to the west, South Dakota to the northwest and Minnesota to the north. In colonial times, Iowa was a part of French Louisiana and Spanish Louisiana; its state flag is patterned after the flag of France. After the Louisiana Purchase, people laid the foundation for an agriculture-based economy in the heart of the Corn Belt.In the latter half of the 20th century, Iowa's agricultural economy made the transition to a diversified economy of advanced manufacturing, processing, financial services, information technology, biotechnology, and green energy production. Iowa is the 26th most extensive in land area and the 30th most populous of the 50 U.S states. Although its capital and largest city by population is Des Moines, the largest metropolitan area in the state is that of Omaha, Nebraska, which extends into three southwest Iowa counties along the Missouri River. Iowa has been listed as one of the safest states in which to live. Its nickname is the Hawkeye State.Iowa derives its name from the Ioway people, one of the many Native American tribes that occupied the state at the time of European exploration.Iowa is bordered by the Mississippi River on the east and the Missouri River and the Big Sioux River on the west."
Kansas,KS,Kansas,"Kansas  (listen) is a U.S. state in the Midwestern United States. Its capital is Topeka and its largest city is Wichita, with its most populated county being Johnson County. Kansas is bordered by Nebraska on the north; Missouri on the east; Oklahoma on the south; and Colorado on the west. Kansas is named after the Kansas River, which in turn was named after the Kansa Native Americans who lived along its banks. The tribe's name (natively kką:ze) is often said to mean ""people of the (south) wind"" although this was probably not the term's original meaning. For thousands of years, what is now Kansas was home to numerous and diverse Native American tribes. Tribes in the eastern part of the state generally lived in villages along the river valleys. Tribes in the western part of the state were semi-nomadic and hunted large herds of bison.Kansas was first settled by Americans in 1827 with the establishment of Fort Leavenworth. The pace of settlement accelerated in the 1850s, in the midst of political wars over the slavery debate."
Kentucky,KY,Kentucky,"Kentucky ( (listen) kən-TUK-ee), officially the Commonwealth of Kentucky, is a state located in the east south-central region of the United States. Although styled as the ""State of Kentucky"" in the law creating it, (because in Kentucky's first constitution, the name state was used) Kentucky is one of four U.S. states constituted as a commonwealth (the others being Virginia, Pennsylvania, and Massachusetts). Originally a part of Virginia, in 1792 Kentucky became the 15th state to join the Union. Kentucky is the 37th most extensive and the 26th most populous of the 50 United States. Kentucky is known as the ""Bluegrass State"", a nickname based on the bluegrass found in many of its pastures due to the fertile soil. One of the major regions in Kentucky is the Bluegrass Region in central Kentucky, which houses two of its major cities, Louisville and Lexington. It is a land with diverse environments and abundant resources, including the world's longest cave system, Mammoth Cave National Park, the greatest length of navigable waterways and streams in the contiguous United States, and the two largest man-made lakes east of the Mississippi River. Kentucky is also known for horse racing, bourbon distilleries, moonshine, coal, the ""My Old Kentucky Home"" historic state park, automobile manufacturing, tobacco, bluegrass music, college basketball, and Kentucky Fried Chicken.In 1776, the counties of Virginia beyond the Appalachian Mountains became known as Kentucky County, named for the Kentucky River. The precise etymology of the name is uncertain, but likely based on an Iroquoian name meaning  ""(on) the meadow"" or ""(on) the prairie"" (cf."
Louisiana,LA,Louisiana,"Louisiana  is a state in the Deep South region of the South Central United States.  It is the 31st most extensive and the 25th most populous of the 50 United States.  Louisiana is bordered by the state of Texas to the west, Arkansas to the north, Mississippi to the east, and the Gulf of Mexico to the south.  A large part of its eastern boundary is demarcated by the Mississippi River. Louisiana is the only U.S. state with political subdivisions termed parishes, which are equivalent to counties.  The state's capital is Baton Rouge, and its largest city is New Orleans. Much of the state's lands were formed from sediment washed down the Mississippi River, leaving enormous deltas and vast areas of coastal marsh and swamp. These contain a rich southern biota; typical examples include birds such as ibis and egrets. There are also many species of tree frogs, and fish such as sturgeon and paddlefish. In more elevated areas, fire is a natural process in the landscape, and has produced extensive areas of longleaf pine forest and wet savannas."
Maine,ME,Maine,"Maine ( (listen)) is a state in the New England region of the northeastern United States. Maine is the 12th smallest by area, the 9th least populous, and the 38th most densely populated of the 50 U.S. states. It is bordered by New Hampshire to the west, the Atlantic Ocean to the southeast, and the Canadian provinces of New Brunswick and Quebec to the northeast and northwest respectively. Maine is the easternmost state in the contiguous United States, and the northernmost state east of the Great Lakes. It is known for its jagged, rocky coastline; low, rolling mountains; heavily forested interior; and picturesque waterways, as well as its seafood cuisine, especially lobster and clams. There is a humid continental climate throughout most of the state, including in coastal areas such as its most populous city of Portland. The capital is Augusta. For thousands of years, indigenous peoples were the only inhabitants of the territory that is now Maine. At the time of European arrival in what is now Maine, several Algonquian-speaking peoples inhabited the area. The first European settlement in the area was by the French in 1604 on Saint Croix Island, by Pierre Dugua, Sieur de Mons."
Maryland,MD,Maryland,"Maryland ( (listen) MAIR-ih-lənd) is a state in the Mid-Atlantic region of the United States, bordering Virginia, West Virginia, and the District of Columbia to its south and west; Pennsylvania to its north; and Delaware to its east. The state's largest city is Baltimore, and its capital is Annapolis. Among its occasional nicknames are Old Line State, the Free State, and the Chesapeake Bay State. It is named after the English queen Henrietta Maria, known in England as Queen Mary.Sixteen of Maryland's twenty-three counties, as well as the city of Baltimore, border the tidal waters of the Chesapeake Bay estuary and its many tributaries, which combined total more than 4,000 miles of shoreline. Although one of the smallest states in the U.S., it features a variety of climates and topographical features that have earned it the moniker of America in Miniature. In a similar vein, Maryland's geography, culture, and history combines elements of the Mid-Atlantic, Northeastern, and South Atlantic regions of the country. One of the original Thirteen Colonies of Great Britain, Maryland was founded by George Calvert, a Catholic convert who sought to provide a religious haven for Catholics persecuted in England. In 1632, Charles I of England granted Calvert a colonial charter, naming the colony after his wife, Queen Mary. Unlike the Pilgrims and Puritans, who enforced religious conformity in their settlements, Calvert envisioned a colony where people of different religious sects would coexist under the principle of toleration. Accordingly, in 1649 the Maryland General Assembly passed an Act Concerning Religion, which enshrined this principle by penalizing anyone who ""reproached"" a fellow Marylander based on religious affiliation."
Massachusetts,MA,Massachusetts,"Massachusetts ( (listen), ), officially the Commonwealth of Massachusetts, is the most populous state in the New England region of the northeastern United States. It borders on the Atlantic Ocean to the east, the states of Connecticut and Rhode Island to the south, New Hampshire and Vermont to the north, and New York to the west.  The state is named after the Massachusett tribe, which once inhabited the east side of the area, and is one of the original thirteen states. The capital of Massachusetts is Boston, which is also the most populous city in New England. Over 80% of Massachusetts's population lives in the Greater Boston metropolitan area, a region influential upon American history, academia, and industry. Originally dependent on agriculture, fishing and trade, Massachusetts was transformed into a manufacturing center during the Industrial Revolution. During the 20th century, Massachusetts's economy shifted from manufacturing to services. Modern Massachusetts is a global leader in biotechnology, engineering, higher education, finance, and maritime trade.Plymouth was the site of the second colony in New England after Popham Colony in 1607 in what is now Maine .  Plymouth was founded in 1620 by the Pilgrims, passengers of the Mayflower. In 1692, the town of Salem and surrounding areas experienced one of America's most infamous cases of mass hysteria, the Salem witch trials."
Michigan,MI,Michigan,"Michigan ( (listen)) is a state in the Great Lakes and Midwestern regions of the United States. The state's name, Michigan, originates from the Ojibwe word mishigamaa, meaning ""large water"" or ""large lake"". With a population of about 10 million, Michigan is the tenth most populous of the 50 United States, with the 11th most extensive total area, and is the largest state by total area east of the Mississippi River. Its capital is Lansing, and its largest city is Detroit. Metro Detroit is among the nation's most populous and largest metropolitan economies. Michigan is the only state to consist of two peninsulas. The Lower Peninsula is often noted as shaped like a mitten. The Upper Peninsula (often called ""the U.P."") is separated from the Lower Peninsula by the Straits of Mackinac, a five-mile (8 km) channel that joins Lake Huron to Lake Michigan. The Mackinac Bridge connects the peninsulas. The state has the longest freshwater coastline of any political subdivision in the world, being bounded by four of the five Great Lakes, plus Lake Saint Clair."
Minnesota,MN,Minnesota,"Minnesota ( (listen)) is a state in the Upper Midwest, Great Lakes, and northern regions of the United States. Minnesota was admitted as the 32nd U.S. state on May 11, 1858, created from the eastern half of the Minnesota Territory. The state has a large number of lakes, and is known by the slogan the ""Land of 10,000 Lakes"". Its official motto is L'Étoile du Nord (French: Star of the North). Minnesota is the 12th largest in area and the 22nd most populous of the U.S. states; nearly 60% of its residents live in the Minneapolis–Saint Paul metropolitan area (known as the ""Twin Cities""). This area is the center of transportation, business, industry, education, and government, while being home to an internationally known arts community. The remainder of the state consists of western prairies now given over to intensive agriculture; deciduous forests in the southeast, now partially cleared, farmed, and settled; and the less populated North Woods, used for mining, forestry, and recreation.
Minnesota was inhabited by various indigenous peoples for thousands of years prior to the arrival of Europeans. French explorers, missionaries, and fur traders began exploring the region in the 17th century, encountering the Dakota and Ojibwe/Anishinaabe tribes. Much of what is today Minnesota was part of the vast French holding of Louisiana, which was purchased by the United States in 1803."
Mississippi,MS,Mississippi,"Mississippi ( (listen)) is a state located in the southeastern region of the United States. Mississippi is the 32nd most extensive and 34th most populous of the 50 United States. It is bordered by Tennessee to the north, Alabama to the east, the Gulf of Mexico and Louisiana to the south, and Arkansas and Louisiana to the west. The state's western boundary is largely defined by the Mississippi River. Jackson, with a population of approximately 167,000 people, is both the state's capital and largest city.The state is heavily forested outside the Mississippi Delta area, which is the area between the Mississippi and Yazoo rivers. Before the American Civil War, most development in the state was along riverfronts, as the waterways were critical for transportation. Large gangs of slaves were used to work on cotton plantations. After the war, freedmen began to clear the bottomlands to the interior, in the process selling off timber and buying property. By the end of the 19th century, African Americans made up two-thirds of the Delta's property owners, but timber and railroad companies acquired much of the land after the financial crisis, which occurred when blacks were facing increasing racial discrimination and disfranchisement in the state."
Missouri,MO,Missouri,"Missouri is a state in the Midwestern United States. With over six million residents, it is the 18th-most populous state of the Union. The largest urban areas are St. Louis, Kansas City, Springfield, and Columbia; the capital is Jefferson City. The state is the 21st-most extensive in area. In the South are the Ozarks, a forested highland, providing timber, minerals, and recreation. The Missouri River, after which the state is named, flows through the center of the state into the Mississippi River, which makes up Missouri's eastern border. Humans have inhabited the land now known as Missouri for at least 12,000 years. The Mississippian culture built cities and mounds, before declining in the 14th century. When European explorers arrived in the 17th century they encountered the Osage and Missouria nations."
Montana,MT,Montana,"Montana ( (listen)) is a state in the Northwestern United States. Montana has several nicknames, although none are official, including ""Big Sky Country"" and ""The Treasure State"", and slogans that include ""Land of the Shining Mountains"" and more recently ""The Last Best Place"".Montana is the 4th largest in area, the 8th least populous, and the 3rd least densely populated of the 50 U.S. states. The western half of Montana contains numerous mountain ranges. Smaller island ranges are found throughout the state. In all, 77 named ranges are part of the Rocky Mountains. The eastern half of Montana is characterized by western prairie terrain and badlands. Montana is bordered by Idaho to the west, Wyoming to the south, North Dakota and South Dakota to the east, and the Canadian provinces of British Columbia, Alberta, and Saskatchewan to the north. The economy is primarily based on agriculture, including ranching and cereal grain farming. Other significant economic resources include oil, gas, coal, hard rock mining, and lumber. The health care, service, and government sectors also are significant to the state's economy."
Nebraska,NE,Nebraska,"Nebraska  (listen) is a state that lies in both the Great Plains and the Midwestern United States. It is bordered by South Dakota to the north; Iowa to the east and Missouri to the southeast, both across the Missouri River; Kansas to the south; Colorado to the southwest; and Wyoming to the west. It is the only triply landlocked U.S. state.Nebraska's area is just over 77,220 square miles (200,000 km2) with a population of almost 1.9 million people. Its state capital is Lincoln, and its largest city is Omaha, which is on the Missouri River.Indigenous peoples, including Omaha, Missouria, Ponca, Pawnee, Otoe, and various branches of the Lakota (Sioux) tribes, lived in the region for thousands of years before European exploration. The state is crossed by many historic trails, including that of the Lewis and Clark Expedition.Nebraska was admitted as the 37th state of the United States in 1867. It is the only state in the United States whose legislature is unicameral and officially nonpartisan. Nebraska is composed of two major land regions: the Dissected Till Plains and the Great Plains."
Nevada,NV,Nevada,"Nevada () is a state in the Western United States. It is bordered by Oregon to the northwest, Idaho to the northeast, California to the west, Arizona to the southeast and Utah to the east. Nevada is the 7th most extensive, the 32nd most populous, but the 9th least densely populated of the U.S. states. Nearly three-quarters of Nevada's people live in Clark County, which contains the Las Vegas–Paradise metropolitan area where three of the state's four largest incorporated cities are located. Nevada's capital, however, is Carson City. Nevada is officially known as the ""Silver State"" because of the importance of silver to its history and economy. It is also known as the ""Battle Born State"", because it achieved statehood during the Civil War (the words ""Battle Born"" also appear on the state flag); as the ""Sagebrush State"", for the native plant of the same name; and as the ""Sage-hen State"".Nevada is largely desert and semi-arid, much of it within the Great Basin. Areas south of the Great Basin are within the Mojave Desert, while Lake Tahoe and the Sierra Nevada lie on the western edge. About 86% of the state's land is managed by various jurisdictions of the U.S. federal government, both civilian and military.Before European contact, Native Americans of the Paiute, Shoshone, and Washoe tribes inhabited the land that is now Nevada. The first Europeans to explore the region were Spanish."
New Hampshire,NH,New_Hampshire,"New Hampshire () is a state in the New England region of the northeastern United States. It is bordered by Massachusetts to the south, Vermont to the west, Maine and the Atlantic Ocean to the east, and the Canadian province of Quebec to the north. New Hampshire is the 5th smallest by area and the 10th least populous of the 50 states. Concord is the state capital, while Manchester is the largest city in the state.  It has no general sales tax, nor is personal income (other than interest and dividends) taxed at either the state or local level. The New Hampshire primary is the first primary in the U.S. presidential election cycle. Its license plates carry the state motto, ""Live Free or Die"". The state's nickname, ""The Granite State"", refers to its extensive granite formations and quarries.In January 1776, it became the first of the British North American colonies to establish a government independent of the Kingdom of Great Britain's authority, and it was the first to establish its own state constitution. Six months later, it became one of the original 13 colonies that signed the United States Declaration of Independence, and in June 1788 it was the ninth state to ratify the United States Constitution, bringing that document into effect.Historically, New Hampshire was a major center for textile manufacturing, shoemaking, and papermaking, with Amoskeag Manufacturing Company in Manchester at one time being the largest cotton textile plant in the world."
New Jersey,NJ,New_Jersey,"New Jersey is a state in the Mid-Atlantic and Northeastern regions of the United States. It is located on a peninsula, bordered on the north and east by the state of New York, particularly along the extent of the length of New York City on its western edge; on the east, southeast, and south by the Atlantic Ocean; on the west by the Delaware River and Pennsylvania; and on the southwest by the Delaware Bay and Delaware. New Jersey is the fourth-smallest state by area but the 11th-most populous, with 9 million residents as of 2017, and the most densely populated of the 50 U.S. states; its biggest city is Newark. New Jersey lies completely within the combined statistical areas of New York City and Philadelphia. New Jersey was the second-wealthiest U.S. state by median household income as of 2017.New Jersey was inhabited by Native Americans for more than 2,800 years, with historical tribes such as the Lenape along the coast. In the early 17th century, the Dutch and the Swedes founded the first European settlements in the state. The English later seized control of the region, naming it the Province of New Jersey after the largest of the Channel Islands, Jersey, and granting it as a colony to Sir George Carteret and John Berkeley, 1st Baron Berkeley of Stratton. New Jersey was the site of several decisive battles during the American Revolutionary War in the 18th century. In the 19th century, factories in cities (known as the ""Big Six""), Camden, Paterson, Newark, Trenton, Jersey City, and Elizabeth helped to drive the Industrial Revolution. New Jersey's geographic location at the center of the Northeast megalopolis, between Boston and New York City to the northeast, and Philadelphia, Baltimore, and Washington, D.C., to the southwest, fueled its rapid growth through the process of suburbanization in the second half of the 20th century."
